venue,innings,batting_team,bowling_team,batsmen,bowlers,y_actual
Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,"JD Ryder,R Bishnoi,SP Goswami,JH Kallis","IK Pathan,VS Malik,YA Abdulla",38
Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,"Yuvraj Singh,K Goel","P Kumar,JH Kallis,JD Ryder",35
New Wanderers Stadium,1,Chennai Super Kings,Delhi Daredevils,"M Vijay,ML Hayden,SK Raina","DP Nannes,A Nehra,PJ Sangwan",53
New Wanderers Stadium,2,Delhi Daredevils,Chennai Super Kings,"G Gambhir,DA Warner,AB de Villiers,TM Dilshan","JA Morkel,S Tyagi",49
St George's Park,1,Deccan Chargers,Rajasthan Royals,"HH Gibbs,AC Gilchrist,AA Bilakhia","YK Pathan,MM Patel,RA Jadeja,SM Harwood",39
St George's Park,2,Rajasthan Royals,Deccan Chargers,"GC Smith,SA Asnodkar,LA Carseldine,NV Ojha,RA Jadeja","FH Edwards,RP Singh,DR Smith",30
St George's Park,1,Kolkata Knight Riders,Kings XI Punjab,"BB McCullum,CH Gayle,BJ Hodge","RR Powar,IK Pathan,YA Abdulla,VS Malik",28
St George's Park,2,Kings XI Punjab,Kolkata Knight Riders,"S Sohal,KC Sangakkara,SM Katich,DPMD Jayawardene","I Sharma,AB Dinda,CH Gayle,AB Agarkar",51
New Wanderers Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"ST Jayasuriya,SR Tendulkar,AM Rahane,JP Duminy,DJ Bravo","P Kumar,JH Kallis,D du Preez",25
New Wanderers Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"JH Kallis,W Jaffer,RV Uthappa","Z Khan,DJ Bravo,SL Malinga,AM Nayar",51
Buffalo Park,1,Chennai Super Kings,Deccan Chargers,"M Vijay,ML Hayden","RJ Harris,RP Singh,DR Smith,RG Sharma",53
Buffalo Park,2,Deccan Chargers,Chennai Super Kings,"AC Gilchrist,VVS Laxman,HH Gibbs,RG Sharma,DR Smith","JA Morkel,S Tyagi,L Balaji",52
Kingsmead,1,Rajasthan Royals,Kings XI Punjab,"NV Ojha,GC Smith","RR Powar,IK Pathan,S Sreesanth,YA Abdulla",57
Kingsmead,2,Kings XI Punjab,Rajasthan Royals,"S Sohal,K Goel,KC Sangakkara,SM Katich,DPMD Jayawardene","A Singh,SM Harwood,YK Pathan,SK Trivedi",29
Kingsmead,1,Kolkata Knight Riders,Delhi Daredevils,"MN van Wyk,BB McCullum","DP Nannes,A Nehra,A Mishra,PJ Sangwan",54
Kingsmead,2,Delhi Daredevils,Kolkata Knight Riders,"G Gambhir,DA Warner","I Sharma,AB Dinda,MC Henriques,BJ Hodge",57
SuperSport Park,1,Deccan Chargers,Mumbai Indians,"AC Gilchrist,HH Gibbs,TL Suman,RG Sharma","SL Malinga,DS Kulkarni,Harbhajan Singh,DJ Bravo",37
SuperSport Park,2,Mumbai Indians,Deccan Chargers,"ST Jayasuriya,SR Tendulkar,JP Duminy,PR Shah","RJ Harris,RP Singh,Harmeet Singh,DR Smith",41
SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,"JH Kallis,W Jaffer,RV Uthappa,R Dravid","A Singh,M Morkel,MM Patel,LA Carseldine",29
SuperSport Park,2,Rajasthan Royals,Royal Challengers Bangalore,"GC Smith,NV Ojha,LA Carseldine","P Kumar,JH Kallis,D du Preez",31
SuperSport Park,1,Chennai Super Kings,Kings XI Punjab,"S Badrinath,SK Raina,ML Hayden","IK Pathan,S Sreesanth,YA Abdulla,VRV Singh",57
SuperSport Park,2,Kings XI Punjab,Chennai Super Kings,"S Sohal,K Goel,SM Katich","JA Morkel,S Tyagi,MS Gony,M Muralitharan",53
Buffalo Park,1,Mumbai Indians,Delhi Daredevils,"L Ronchi,JP Duminy,PR Shah,SR Tendulkar","DP Nannes,A Nehra,PJ Sangwan",30
Buffalo Park,2,Delhi Daredevils,Mumbai Indians,"G Gambhir,DA Warner","SL Malinga,DS Kulkarni",36
De Beers Diamond Oval,1,Rajasthan Royals,Chennai Super Kings,"GC Smith,NV Ojha,SA Asnodkar","JA Morkel,S Tyagi,L Balaji,JDP Oram",34
De Beers Diamond Oval,2,Chennai Super Kings,Rajasthan Royals,"M Vijay,ML Hayden,SK Raina","YK Pathan,A Singh,SK Trivedi,SM Harwood",37
De Beers Diamond Oval,1,Deccan Chargers,Kings XI Punjab,"AC Gilchrist,HH Gibbs,TL Suman","B Lee,IK Pathan,S Sreesanth",52
De Beers Diamond Oval,2,Kings XI Punjab,Deccan Chargers,"S Sohal,SM Katich,KC Sangakkara,Yuvraj Singh","RJ Harris,RP Singh,Shoaib Ahmed,RG Sharma,Y Venugopal Rao",45
New Wanderers Stadium,1,Kolkata Knight Riders,Delhi Daredevils,"BB McCullum,BJ Hodge,SC Ganguly,MN van Wyk,Yashpal Singh","A Nehra,DP Nannes,PJ Sangwan",37
New Wanderers Stadium,2,Delhi Daredevils,Kolkata Knight Riders,"G Gambhir,DA Warner","I Sharma,MC Henriques,AB Agarkar,SS Sarkar,BJ Hodge",47
St George's Park,1,Mumbai Indians,Royal Challengers Bangalore,"ST Jayasuriya,SR Tendulkar,AM Rahane","JH Kallis,R Vinay Kumar,A Mithun",46
St George's Park,2,Royal Challengers Bangalore,Mumbai Indians,"JH Kallis,V Kohli,RV Uthappa,LRPL Taylor","DS Kulkarni,SL Malinga,DJ Bravo",39
De Beers Diamond Oval,1,Deccan Chargers,Rajasthan Royals,"TL Suman,AC Gilchrist,RG Sharma","M Morkel,MM Patel,YK Pathan,SK Trivedi",42
De Beers Diamond Oval,2,Rajasthan Royals,Deccan Chargers,"GC Smith,SA Asnodkar,LA Carseldine,NV Ojha","RP Singh,WPUJC Vaas,A Symonds",30
SuperSport Park,1,Kings XI Punjab,Mumbai Indians,"S Sohal,SM Katich,IK Pathan,KC Sangakkara","SL Malinga,DS Kulkarni,DJ Bravo",51
SuperSport Park,2,Mumbai Indians,Kings XI Punjab,"ST Jayasuriya,DJ Bravo,AM Rahane","B Lee,IK Pathan,S Sreesanth,PP Chawla",42
SuperSport Park,1,Kolkata Knight Riders,Royal Challengers Bangalore,"BB McCullum,SC Ganguly,AN Ghosh,DJ Hussey","R Vinay Kumar,JH Kallis",38
SuperSport Park,2,Royal Challengers Bangalore,Kolkata Knight Riders,"JD Ryder,JH Kallis","I Sharma,BAW Mendis,AB Agarkar,AD Mathews,DJ Hussey",46
Kingsmead,1,Delhi Daredevils,Deccan Chargers,"G Gambhir,DA Warner,TM Dilshan","RP Singh,WPUJC Vaas,A Symonds,Shoaib Ahmed",56
Kingsmead,2,Deccan Chargers,Delhi Daredevils,"TL Suman,AC Gilchrist,RG Sharma,DB Ravi Teja","A Nehra,DP Nannes,PJ Sangwan",50
Kingsmead,1,Rajasthan Royals,Mumbai Indians,"RJ Quiney,GC Smith","DS Kulkarni,SL Malinga,DJ Bravo,JP Duminy",42
Kingsmead,2,Mumbai Indians,Rajasthan Royals,"DJ Bravo,YV Takawale,AM Rahane,SR Tendulkar,ST Jayasuriya","YK Pathan,MM Patel,SK Trivedi,SK Warne",26
Kingsmead,1,Chennai Super Kings,Royal Challengers Bangalore,"M Vijay,ML Hayden,SK Raina,MS Dhoni","A Kumble,R Vinay Kumar,P Kumar,JH Kallis",52
Kingsmead,2,Royal Challengers Bangalore,Chennai Super Kings,"RV Uthappa,JH Kallis,R Dravid,LRPL Taylor,V Kohli","JA Morkel,S Tyagi,L Balaji",33
OUTsurance Oval,1,Delhi Daredevils,Kings XI Punjab,"G Gambhir,V Sehwag,TM Dilshan,AB de Villiers","B Lee,IK Pathan,PP Chawla,S Sreesanth",38
OUTsurance Oval,2,Kings XI Punjab,Delhi Daredevils,"S Sohal,SM Katich,LA Pomersbach,Yuvraj Singh,KC Sangakkara","A Nehra,PJ Sangwan,MF Maharoof",37
St George's Park,1,Mumbai Indians,Chennai Super Kings,"ST Jayasuriya,DJ Bravo,JP Duminy","JA Morkel,S Tyagi",49
St George's Park,2,Chennai Super Kings,Mumbai Indians,"PA Patel,SK Raina,ML Hayden,S Badrinath","SL Malinga,DS Kulkarni,DJ Bravo",35
New Wanderers Stadium,1,Kolkata Knight Riders,Deccan Chargers,"BB McCullum,SC Ganguly,BJ Hodge","RJ Harris,RP Singh,A Symonds",31
New Wanderers Stadium,2,Deccan Chargers,Kolkata Knight Riders,"AC Gilchrist,HH Gibbs","I Sharma,Mashrafe Mortaza,M Kartik,BJ Hodge",50
OUTsurance Oval,1,Delhi Daredevils,Rajasthan Royals,"G Gambhir,V Sehwag,AB de Villiers,TM Dilshan","MM Patel,A Singh,SK Trivedi",35
OUTsurance Oval,2,Rajasthan Royals,Delhi Daredevils,"RJ Quiney,GC Smith,NV Ojha,J Botha","A Nehra,DP Nannes,AM Salvi,MF Maharoof",24
New Wanderers Stadium,1,Kings XI Punjab,Deccan Chargers,"S Sohal,SM Katich,LA Pomersbach,Yuvraj Singh,KC Sangakkara","RJ Harris,RP Singh,A Symonds",39
New Wanderers Stadium,2,Deccan Chargers,Kings XI Punjab,"AC Gilchrist,HH Gibbs,TL Suman,A Symonds","B Lee,IK Pathan,S Sreesanth,RR Powar",46
SuperSport Park,1,Chennai Super Kings,Kolkata Knight Riders,"PA Patel,GJ Bailey","AB Dinda,Anureet Singh,AB Agarkar,M Kartik,BJ Hodge",54
SuperSport Park,2,Kolkata Knight Riders,Chennai Super Kings,"BB McCullum,SC Ganguly,BJ Hodge","JA Morkel,S Tyagi,M Muralitharan",56
New Wanderers Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"G Gambhir,V Sehwag,M Manhas,AB de Villiers","P Kumar,JH Kallis,B Akhil",37
New Wanderers Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"RV Uthappa,JH Kallis,R Dravid","A Nehra,AM Salvi,MF Maharoof",27
Kingsmead,1,Rajasthan Royals,Kolkata Knight Riders,"NV Ojha,RJ Quiney,SA Asnodkar,Niraj Patel,J Botha,YK Pathan","BJ Hodge,CK Langeveldt,AB Dinda,AB Agarkar",46
Kingsmead,2,Kolkata Knight Riders,Rajasthan Royals,"BB McCullum,SC Ganguly,Yashpal Singh,BJ Hodge,DJ Hussey","MM Patel,A Singh",29
Kingsmead,1,Chennai Super Kings,Kings XI Punjab,"GJ Bailey,PA Patel,SK Raina","B Lee,IK Pathan,RR Powar,S Sreesanth",50
Kingsmead,2,Kings XI Punjab,Chennai Super Kings,"S Sohal,SM Katich,LA Pomersbach","MS Gony,T Thushara,M Muralitharan,R Ashwin",29
SuperSport Park,1,Royal Challengers Bangalore,Deccan Chargers,"JH Kallis,MK Pandey,RE van der Merwe","RJ Harris,RP Singh,A Symonds",33
SuperSport Park,2,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist,HH Gibbs","A Kumble,JH Kallis,P Kumar,RE van der Merwe",64
SuperSport Park,1,Mumbai Indians,Delhi Daredevils,"ST Jayasuriya,JP Duminy,SR Tendulkar,Mohammad Ashraful,AM Rahane","DP Nannes,AM Salvi,PJ Sangwan",30
SuperSport Park,2,Delhi Daredevils,Mumbai Indians,"G Gambhir,DA Warner,V Sehwag","SL Malinga,DS Kulkarni,RA Shaikh",60
SuperSport Park,1,Delhi Daredevils,Deccan Chargers,"G Gambhir,DA Warner,V Sehwag,TM Dilshan","RJ Harris,RP Singh,PP Ojha",49
SuperSport Park,2,Deccan Chargers,Delhi Daredevils,"AC Gilchrist,HH Gibbs,AA Bilakhia","DP Nannes,A Nehra,PJ Sangwan,TM Dilshan,V Sehwag",84
New Wanderers Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"PA Patel,ML Hayden","P Kumar,JH Kallis,R Vinay Kumar,A Kumble",52
New Wanderers Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"JH Kallis,MK Pandey,RE van der Merwe,R Dravid","JA Morkel,MS Gony,SB Jakati",59
New Wanderers Stadium,1,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist,TL Suman,HH Gibbs,A Symonds","A Kumble,P Kumar,JH Kallis,R Vinay Kumar",31
New Wanderers Stadium,2,Royal Challengers Bangalore,Deccan Chargers,"JH Kallis,MK Pandey,RE van der Merwe","RJ Harris,RP Singh,A Symonds",36
Dr DY Patil Sports Academy,1,Kolkata Knight Riders,Deccan Chargers,"MK Tiwary,SC Ganguly,CA Pujara,BJ Hodge,OA Shah,AD Mathews","WPUJC Vaas,RP Singh,Jaskaran Singh",38
Dr DY Patil Sports Academy,2,Deccan Chargers,Kolkata Knight Riders,"AC Gilchrist,VVS Laxman","CK Langeveldt,I Sharma,LR Shukla,M Kartik",62
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Delhi Daredevils,"RS Bopara,MS Bisla,KC Sangakkara,Yuvraj Singh","DP Nannes,MF Maharoof,PJ Sangwan",44
"Punjab Cricket Association Stadium, Mohali",2,Delhi Daredevils,Kings XI Punjab,"G Gambhir,V Sehwag,TM Dilshan,AB de Villiers","IK Pathan,S Sreesanth",39
Brabourne Stadium,1,Mumbai Indians,Rajasthan Royals,"ST Jayasuriya,SR Tendulkar,AP Tare","AD Mascarenhas,SW Tait,Kamran Khan,A Uniyal",69
Brabourne Stadium,2,Rajasthan Royals,Mumbai Indians,"GC Smith,NV Ojha,AA Jhunjhunwala","Z Khan,R McLaren,SL Malinga,AG Murtaza",39
"MA Chidambaram Stadium, Chepauk",1,Deccan Chargers,Chennai Super Kings,"AC Gilchrist,VVS Laxman,HH Gibbs,A Symonds","JA Morkel,S Tyagi,M Muralitharan,R Ashwin",57
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Deccan Chargers,"M Vijay,ML Hayden,SK Raina,S Badrinath,JM Kemp,MS Dhoni","WPUJC Vaas,RG Sharma,RP Singh,PP Ojha",34
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,"JH Kallis,SP Goswami,MK Pandey,V Kohli","CK Langeveldt,I Sharma,AD Mathews,M Kartik",24
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,"BJ Hodge,MK Tiwary","P Kumar,JH Kallis,DW Steyn,A Kumble",61
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Daredevils,"SA Asnodkar,GC Smith,NV Ojha,YK Pathan","MF Maharoof,DP Nannes,A Mishra",47
"Sardar Patel Stadium, Motera",2,Delhi Daredevils,Rajasthan Royals,"G Gambhir,V Sehwag,TM Dilshan,AB de Villiers","AD Mascarenhas,SW Tait,MM Patel",60
M Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"RS Bopara,MS Bisla","P Kumar,DW Steyn,JH Kallis",50
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"MK Pandey,JH Kallis","IK Pathan,S Sreesanth,YA Abdulla",61
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"M Vijay,ML Hayden,SK Raina","SE Bond,I Sharma,AD Mathews,LR Shukla",31
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"BJ Hodge,SC Ganguly,MK Tiwary,WP Saha,OA Shah","JA Morkel,MS Gony,L Balaji",45
Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,"ST Jayasuriya,SR Tendulkar,AP Tare","DP Nannes,MF Maharoof,PJ Sangwan,S Ladda",67
Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,"TM Dilshan,V Sehwag,AB de Villiers","Z Khan,SL Malinga,DJ Bravo,KA Pollard",56
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"NV Ojha,MJ Lumb,DR Martyn","P Kumar,DW Steyn,R Vinay Kumar,JH Kallis",31
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"MK Pandey,JH Kallis","MM Patel,M Morkel,SK Warne",59
Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,"DA Warner,V Sehwag,TM Dilshan","JA Morkel,R Ashwin,Joginder Sharma,L Balaji",52
Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,"PA Patel,ML Hayden,S Badrinath","DP Nannes,UT Yadav,PJ Sangwan,R Bhatia",56
Barabati Stadium,1,Deccan Chargers,Kings XI Punjab,"AC Gilchrist,VVS Laxman,HH Gibbs,A Symonds","IK Pathan,S Sreesanth,SJ Srivastava,PP Chawla",56
Barabati Stadium,2,Kings XI Punjab,Deccan Chargers,"RS Bopara,MS Bisla,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene","WPUJC Vaas,RP Singh,A Symonds",27
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kolkata Knight Riders,"MJ Lumb,FY Fazal,NV Ojha,AA Jhunjhunwala","AB Dinda,I Sharma,SE Bond,AD Mathews",56
"Sardar Patel Stadium, Motera",2,Kolkata Knight Riders,Rajasthan Royals,"MK Tiwary,BJ Hodge,CA Pujara","YK Pathan,SW Tait,MM Patel,SK Trivedi",38
Brabourne Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"ST Jayasuriya,SR Tendulkar,AP Tare,SS Tiwary","P Kumar,DW Steyn,JH Kallis,R Vinay Kumar",45
Brabourne Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"MK Pandey,JH Kallis","Z Khan,SL Malinga,DJ Bravo,KA Pollard",55
Barabati Stadium,1,Deccan Chargers,Delhi Daredevils,"MD Mishra,AC Gilchrist,HH Gibbs,A Symonds","A Mishra,DP Nannes,Y Nagar,S Ladda",47
Barabati Stadium,2,Delhi Daredevils,Deccan Chargers,"DA Warner,V Sehwag,AB de Villiers","WPUJC Vaas,RP Singh,PP Ojha,RG Sharma",48
"MA Chidambaram Stadium, Chepauk",1,Kings XI Punjab,Chennai Super Kings,"RS Bopara,IK Pathan,KC Sangakkara","JA Morkel,MS Gony,R Ashwin,L Balaji",38
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kings XI Punjab,"PA Patel,ML Hayden","IK Pathan,RR Powar,SJ Srivastava,J Theron",42
Brabourne Stadium,1,Kolkata Knight Riders,Mumbai Indians,"CH Gayle,SC Ganguly","SL Malinga,Z Khan,R McLaren,DJ Bravo",41
Brabourne Stadium,2,Mumbai Indians,Kolkata Knight Riders,"S Dhawan,SR Tendulkar","SE Bond,I Sharma,CH Gayle",57
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"MK Pandey,JH Kallis,R Dravid","JA Morkel,S Tyagi,L Balaji",38
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"PA Patel,ML Hayden,GJ Bailey","P Kumar,DW Steyn,A Kumble,JH Kallis",29
"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Kings XI Punjab,"MJ Lumb,NV Ojha,FY Fazal","IK Pathan,S Sreesanth,SJ Srivastava",53
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Rajasthan Royals,"RS Bopara,KC Sangakkara,MS Bisla","MM Patel,SW Tait,SK Warne",76
Brabourne Stadium,1,Chennai Super Kings,Mumbai Indians,"PA Patel,ML Hayden,SK Raina,S Badrinath","R McLaren,Z Khan,Harbhajan Singh,DJ Bravo",51
Brabourne Stadium,2,Mumbai Indians,Chennai Super Kings,"S Dhawan,SR Tendulkar","JA Morkel,L Balaji,Joginder Sharma",63
M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"DA Warner,V Sehwag,AB de Villiers","P Kumar,DW Steyn,JH Kallis,R Vinay Kumar",64
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"MK Pandey,JH Kallis","DP Nannes,UT Yadav,PJ Sangwan",46
"Sardar Patel Stadium, Motera",1,Deccan Chargers,Rajasthan Royals,"AC Gilchrist,VVS Laxman,HH Gibbs,A Symonds","S Narwal,AA Jhunjhunwala,SK Trivedi,SW Tait",55
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Deccan Chargers,"MJ Lumb,NV Ojha","WPUJC Vaas,RP Singh,RG Sharma,R Sharma",54
"Punjab Cricket Association Stadium, Mohali",1,Kolkata Knight Riders,Kings XI Punjab,"CH Gayle,SC Ganguly,Mandeep Singh,MK Tiwary","B Lee,IK Pathan,SJ Srivastava,VS Malik",50
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Kolkata Knight Riders,"RS Bopara,MS Bisla,Yuvraj Singh","SE Bond,AB Dinda,CH Gayle,AB Agarkar",42
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Chennai Super Kings,"MJ Lumb,NV Ojha,FY Fazal","JA Morkel,T Thushara,M Muralitharan",58
"Sardar Patel Stadium, Motera",2,Chennai Super Kings,Rajasthan Royals,"M Vijay,ML Hayden,SK Raina","YK Pathan,S Narwal,SW Tait",58
Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,"S Dhawan,SR Tendulkar,DJ Bravo","KAJ Roach,Jaskaran Singh,PP Ojha,RP Singh",52
Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,"AC Gilchrist,HH Gibbs,MD Mishra,A Symonds","Harbhajan Singh,R McLaren,Z Khan,SL Malinga",50
Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,"DA Warner,V Sehwag,G Gambhir,KD Karthik,PD Collingwood","CH Gayle,CK Langeveldt,I Sharma,DJ Hussey",62
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,"CH Gayle,SC Ganguly,Mandeep Singh,MK Tiwary,DJ Hussey","DP Nannes,AB McDonald,A Mishra",36
Brabourne Stadium,1,Kings XI Punjab,Mumbai Indians,"RS Bopara,SE Marsh,MS Bisla,DPMD Jayawardene","R McLaren,Z Khan,SL Malinga,Harbhajan Singh",48
Brabourne Stadium,2,Mumbai Indians,Kings XI Punjab,"S Dhawan,SR Tendulkar,KA Pollard","B Lee,SJ Srivastava,IK Pathan,VS Malik,PP Chawla",45
"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,"MK Pandey,JH Kallis,RV Uthappa","T Thushara,MS Gony,JA Morkel",52
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,"M Vijay,ML Hayden","P Kumar,DW Steyn,A Kumble,JH Kallis",56
Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,"DA Warner,V Sehwag,G Gambhir,PD Collingwood,KM Jadhav","YK Pathan,S Narwal,AC Voges,SW Tait",52
Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,"MJ Lumb,NV Ojha,FY Fazal,AA Jhunjhunwala,AC Voges,YK Pathan","MF Maharoof,AB McDonald,A Mishra,UT Yadav",39
Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,"SC Ganguly,CH Gayle,CA Pujara","KAJ Roach,Jaskaran Singh,A Symonds,Harmeet Singh",46
Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,"HH Gibbs,AC Gilchrist,MD Mishra","MB Parmar,SE Bond,AB Agarkar,M Kartik",59
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,"SE Marsh,MS Bisla,KC Sangakkara","P Kumar,R Vinay Kumar,DW Steyn,JH Kallis",41
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,"MK Pandey,JH Kallis,KP Pietersen","B Lee,S Sreesanth,SJ Srivastava,PP Chawla",51
Brabourne Stadium,1,Mumbai Indians,Deccan Chargers,"S Dhawan,SR Tendulkar","RG Sharma,RJ Harris,A Symonds,Jaskaran Singh",53
Brabourne Stadium,2,Deccan Chargers,Mumbai Indians,"HH Gibbs,AC Gilchrist,VVS Laxman","Harbhajan Singh,SL Malinga,Z Khan,DJ Bravo",40
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Rajasthan Royals,"M Vijay,ML Hayden","YK Pathan,S Narwal,SW Tait,SR Watson,SB Wagh",66
"MA Chidambaram Stadium, Chepauk",2,Rajasthan Royals,Chennai Super Kings,"MJ Lumb,NV Ojha","JA Morkel,DE Bollinger,S Tyagi",62
Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,"SC Ganguly,CH Gayle","IK Pathan,RR Powar,SJ Srivastava,J Theron",53
Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,"MS Bisla,DPMD Jayawardene,KC Sangakkara","SE Bond,JD Unadkat,M Kartik,CH Gayle",69
Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,"DA Warner,V Sehwag,G Gambhir,PD Collingwood","A Kumble,R Vinay Kumar,A Mithun,JH Kallis",54
Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,"JH Kallis,CL White,KP Pietersen","MF Maharoof,A Mishra,DL Vettori",38
"Vidarbha Cricket Association Stadium, Jamtha",1,Rajasthan Royals,Deccan Chargers,"MJ Lumb,NV Ojha,SR Watson,FY Fazal","RJ Harris,DR Smith,RP Singh,Harmeet Singh,A Symonds",48
"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Rajasthan Royals,"VVS Laxman,AC Gilchrist,RG Sharma,A Symonds","YK Pathan,SR Watson,AP Dole,M Morkel",52
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,"M Vijay,ML Hayden,SK Raina","R McLaren,Harbhajan Singh,SL Malinga",42
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,"S Dhawan,SR Tendulkar","S Tyagi,DE Bollinger,R Ashwin",46
Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,"MS Bisla,DPMD Jayawardene,KC Sangakkara","AP Dole,SR Watson,YK Pathan",52
Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,"MJ Lumb,NV Ojha","S Sreesanth,RR Powar,J Theron,PP Chawla",70
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"SC Ganguly,CH Gayle","MF Maharoof,DL Vettori,PJ Sangwan,A Mishra",50
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,"DA Warner,G Gambhir,V Sehwag","AB Dinda,AB Agarkar,AD Mathews,BAW Mendis",44
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,"MK Pandey,JH Kallis,R Dravid","RJ Harris,Harmeet Singh,RP Singh,MR Marsh",46
M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist,MD Mishra,TL Suman","P Kumar,A Kumble,DW Steyn,JH Kallis",32
"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,"S Dhawan,SR Tendulkar,AT Rayudu","B Lee,IK Pathan,L Ablish,PP Chawla",51
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,"AB Barath,DPMD Jayawardene,KC Sangakkara","R McLaren,Z Khan,SL Malinga,Harbhajan Singh",56
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"SC Ganguly,CH Gayle,BB McCullum","P Kumar,DW Steyn,JH Kallis",61
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"S Sriram,JH Kallis,R Dravid","AB Dinda,I Sharma,AB Agarkar",48
"Vidarbha Cricket Association Stadium, Jamtha",1,Chennai Super Kings,Deccan Chargers,"M Vijay,ML Hayden,SK Raina","RJ Harris,RP Singh,RG Sharma,Harmeet Singh,DR Smith",55
"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Chennai Super Kings,"MD Mishra,AC Gilchrist,TL Suman,RG Sharma","R Ashwin,DE Bollinger,SB Jakati",37
